could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4334.892478] /dev/input/event0: 0003 0000 000000ec
[    4334.892669] /dev/input/event0: 0003 0001 00000086
[    4334.892823] /dev/input/event0: 0001 014a 00000001
[    4334.892951] /dev/input/event0: 0000 0000 00000000
[    4335.003993] /dev/input/event0: 0003 0001 0000008a
[    4335.004042] /dev/input/event0: 0000 0000 00000000
[    4335.004081] /dev/input/event0: 0003 0001 0000008e
[    4335.004096] /dev/input/event0: 0000 0000 00000000
[    4335.020299] /dev/input/event0: 0003 0001 00000090
[    4335.020690] /dev/input/event0: 0000 0000 00000000
[    4335.020758] /dev/input/event0: 0003 0001 00000096
[    4335.020775] /dev/input/event0: 0000 0000 00000000
[    4335.035928] /dev/input/event0: 0003 0001 00000099
[    4335.035960] /dev/input/event0: 0000 0000 00000000
[    4335.035992] /dev/input/event0: 0003 0000 000000ea
[    4335.036000] /dev/input/event0: 0003 0001 0000009d
[    4335.036014] /dev/input/event0: 0000 0000 00000000
[    4335.051961] /dev/input/event0: 0003 0001 000000a1
[    4335.051993] /dev/input/event0: 0000 0000 00000000
[    4335.052056] /dev/input/event0: 0003 0001 000000a7
[    4335.052071] /dev/input/event0: 0000 0000 00000000
[    4335.067776] /dev/input/event0: 0003 0001 000000ab
[    4335.067808] /dev/input/event0: 0000 0000 00000000
[    4335.067844] /dev/input/event0: 0003 0001 000000af
[    4335.067859] /dev/input/event0: 0000 0000 00000000
[    4335.083788] /dev/input/event0: 0003 0000 000000e8
[    4335.083812] /dev/input/event0: 0003 0001 000000b2
[    4335.083834] /dev/input/event0: 0000 0000 00000000
[    4335.083871] /dev/input/event0: 0003 0001 000000b6
[    4335.083886] /dev/input/event0: 0000 0000 00000000
[    4335.099754] /dev/input/event0: 0003 0001 000000ba
[    4335.099793] /dev/input/event0: 0000 0000 00000000
[    4335.099832] /dev/input/event0: 0003 0001 000000be
[    4335.099847] /dev/input/event0: 0000 0000 00000000
[    4335.115805] /dev/input/event0: 0003 0001 000000c0
[    4335.115839] /dev/input/event0: 0000 0000 00000000
[    4335.115880] /dev/input/event0: 0003 0000 000000e6
[    4335.115889] /dev/input/event0: 0003 0001 000000c4
[    4335.115913] /dev/input/event0: 0000 0000 00000000
[    4335.131797] /dev/input/event0: 0003 0001 000000c8
[    4335.131841] /dev/input/event0: 0000 0000 00000000
[    4335.131880] /dev/input/event0: 0003 0001 000000cb
[    4335.131895] /dev/input/event0: 0000 0000 00000000
[    4335.147712] /dev/input/event0: 0003 0001 000000cd
[    4335.147748] /dev/input/event0: 0000 0000 00000000
